year_month,SPI,model
2025-01,-0.587823842719995,CMCC_CM2_VHR4
2025-02,-0.4740526730232674,CMCC_CM2_VHR4
2025-03,-0.1450934205677573,CMCC_CM2_VHR4
2025-04,-0.4724558920939835,CMCC_CM2_VHR4
2025-05,-0.3776437141457942,CMCC_CM2_VHR4
2025-06,0.3662734732105173,CMCC_CM2_VHR4
2025-07,0.7975602906657918,CMCC_CM2_VHR4
2025-08,1.3474242503911467,CMCC_CM2_VHR4
2025-09,1.3769875932217168,CMCC_CM2_VHR4
2025-10,1.7326682976580006,CMCC_CM2_VHR4
2025-11,-0.03611914981438472,CMCC_CM2_VHR4
2025-12,-0.7900695024470359,CMCC_CM2_VHR4
2026-01,-0.49046747966051696,CMCC_CM2_VHR4
2026-02,-0.7900695024470359,CMCC_CM2_VHR4
2026-03,-0.6670887527237771,CMCC_CM2_VHR4
2026-04,-0.7900695024470359,CMCC_CM2_VHR4
2026-05,-0.21165699206911281,CMCC_CM2_VHR4
2026-06,0.528057742571618,CMCC_CM2_VHR4
2026-07,1.354232646841885,CMCC_CM2_VHR4
2026-08,1.3347056397859727,CMCC_CM2_VHR4
2026-09,1.2520760376517768,CMCC_CM2_VHR4
2026-10,0.520890104715544,CMCC_CM2_VHR4
2026-11,-0.21561854706947506,CMCC_CM2_VHR4
2026-12,-0.7900695024470359,CMCC_CM2_VHR4
2027-01,-0.7900695024470359,CMCC_CM2_VHR4
2027-02,-0.7900695024470359,CMCC_CM2_VHR4
2027-03,-0.7900695024470359,CMCC_CM2_VHR4
2027-04,-0.5862902616551758,CMCC_CM2_VHR4
2027-05,-0.5328716279745143,CMCC_CM2_VHR4
2027-06,-0.02818628725485885,CMCC_CM2_VHR4
2027-07,0.7701592991432895,CMCC_CM2_VHR4
2027-08,0.8903872929849064,CMCC_CM2_VHR4
2027-09,1.3715237666924507,CMCC_CM2_VHR4
2027-10,0.46175617534961916,CMCC_CM2_VHR4
2027-11,-0.7900695024470359,CMCC_CM2_VHR4
2027-12,-0.7900695024470359,CMCC_CM2_VHR4
2028-01,-0.7900695024470359,CMCC_CM2_VHR4
2028-02,-0.24795017401861946,CMCC_CM2_VHR4
2028-03,-0.14462405211623852,CMCC_CM2_VHR4
2028-04,-0.6259667696595504,CMCC_CM2_VHR4
2028-05,-0.09593415056897163,CMCC_CM2_VHR4
2028-06,0.30434233377334324,CMCC_CM2_VHR4
2028-07,0.6490640067807328,CMCC_CM2_VHR4
2028-08,0.7620203390169918,CMCC_CM2_VHR4
2028-09,1.1336090330115036,CMCC_CM2_VHR4
2028-10,0.47827225983305655,CMCC_CM2_VHR4
2028-11,-0.46931642781723887,CMCC_CM2_VHR4
2028-12,-0.48388051108063995,CMCC_CM2_VHR4
2029-01,-0.6210445353746499,CMCC_CM2_VHR4
2029-02,-0.6407146310139241,CMCC_CM2_VHR4
2029-03,-0.7900695024470359,CMCC_CM2_VHR4
2029-04,-0.3916164297443893,CMCC_CM2_VHR4
2029-05,0.12235371203336648,CMCC_CM2_VHR4
2029-06,0.2559181089423613,CMCC_CM2_VHR4
2029-07,0.6034282272703031,CMCC_CM2_VHR4
2029-08,1.4489240602455205,CMCC_CM2_VHR4
2029-09,1.5566567881331956,CMCC_CM2_VHR4
2029-10,0.8187479830086788,CMCC_CM2_VHR4
2029-11,-0.07431497943426293,CMCC_CM2_VHR4
2029-12,-0.7900695024470359,CMCC_CM2_VHR4
2030-01,-0.7900695024470359,CMCC_CM2_VHR4
2030-02,-0.7900695024470359,CMCC_CM2_VHR4
2030-03,-0.5096140465279508,CMCC_CM2_VHR4
2030-04,-0.4448401492705938,CMCC_CM2_VHR4
2030-05,0.06478161529633497,CMCC_CM2_VHR4
2030-06,0.2474818772127819,CMCC_CM2_VHR4
2030-07,0.806264170088268,CMCC_CM2_VHR4
2030-08,1.0452055751492735,CMCC_CM2_VHR4
2030-09,1.2927736204921394,CMCC_CM2_VHR4
2030-10,1.1013208749671168,CMCC_CM2_VHR4
2030-11,-0.39720685975265707,CMCC_CM2_VHR4
2030-12,-0.6151447577713445,CMCC_CM2_VHR4
2031-01,-0.7900695024470359,CMCC_CM2_VHR4
2031-02,-0.5781495196748233,CMCC_CM2_VHR4
2031-03,-0.7900695024470359,CMCC_CM2_VHR4
2031-04,-0.5507548908109534,CMCC_CM2_VHR4
2031-05,-0.189749645531988,CMCC_CM2_VHR4
2031-06,1.031279800216572,CMCC_CM2_VHR4
2031-07,1.329807030595301,CMCC_CM2_VHR4
2031-08,1.6529235676222618,CMCC_CM2_VHR4
2031-09,2.325795535584895,CMCC_CM2_VHR4
2031-10,1.8389455841791629,CMCC_CM2_VHR4
2031-11,-0.40937459791019976,CMCC_CM2_VHR4
2031-12,-0.5653424892760779,CMCC_CM2_VHR4
2032-01,-0.3089186978818098,CMCC_CM2_VHR4
2032-02,-0.5311398252952042,CMCC_CM2_VHR4
2032-03,-0.7900695024470359,CMCC_CM2_VHR4
2032-04,-0.5504448196993333,CMCC_CM2_VHR4
2032-05,0.2590723384512732,CMCC_CM2_VHR4
2032-06,0.3367160812592328,CMCC_CM2_VHR4
2032-07,0.7454452672327819,CMCC_CM2_VHR4
2032-08,1.493589185329785,CMCC_CM2_VHR4
2032-09,1.1285446577596066,CMCC_CM2_VHR4
2032-10,0.5692746318727279,CMCC_CM2_VHR4
2032-11,0.12378595296073411,CMCC_CM2_VHR4
2032-12,-0.7900695024470359,CMCC_CM2_VHR4
2033-01,-0.5391666421944548,CMCC_CM2_VHR4
2033-02,-0.12143888577984431,CMCC_CM2_VHR4
2033-03,-0.18585095586230993,CMCC_CM2_VHR4
2033-04,-0.22056628963528346,CMCC_CM2_VHR4
2033-05,0.1226036355457288,CMCC_CM2_VHR4
2033-06,0.315198328330389,CMCC_CM2_VHR4
2033-07,0.49489718417331596,CMCC_CM2_VHR4
2033-08,0.8950813629425296,CMCC_CM2_VHR4
2033-09,0.8384722040717892,CMCC_CM2_VHR4
2033-10,0.37303836559815146,CMCC_CM2_VHR4
2033-11,-0.04537684771581747,CMCC_CM2_VHR4
2033-12,-0.7900695024470359,CMCC_CM2_VHR4
2034-01,-0.24233915963264246,CMCC_CM2_VHR4
2034-02,-0.7900695024470359,CMCC_CM2_VHR4
2034-03,-0.4267336101122603,CMCC_CM2_VHR4
2034-04,-0.43490140981620923,CMCC_CM2_VHR4
2034-05,0.26074810584999875,CMCC_CM2_VHR4
2034-06,-0.022195677896954487,CMCC_CM2_VHR4
2034-07,0.3392621302851904,CMCC_CM2_VHR4
2034-08,0.6394255764490515,CMCC_CM2_VHR4
2034-09,1.0614042434058513,CMCC_CM2_VHR4
2034-10,0.7973986394139158,CMCC_CM2_VHR4
2034-11,0.07018242732199267,CMCC_CM2_VHR4
2034-12,-0.7900695024470359,CMCC_CM2_VHR4
2035-01,-0.40882226541382993,CMCC_CM2_VHR4
2035-02,-0.7900695024470359,CMCC_CM2_VHR4
2035-03,-0.7900695024470359,CMCC_CM2_VHR4
2035-04,-0.7900695024470359,CMCC_CM2_VHR4
2035-05,-0.5009813534966159,CMCC_CM2_VHR4
2035-06,0.08360712947922931,CMCC_CM2_VHR4
2035-07,1.0845255630301458,CMCC_CM2_VHR4
2035-08,1.2376425612882147,CMCC_CM2_VHR4
2035-09,1.425698775960522,CMCC_CM2_VHR4
2035-10,0.4549183122075033,CMCC_CM2_VHR4
2035-11,-0.468759736495429,CMCC_CM2_VHR4
2035-12,-0.4880241575675542,CMCC_CM2_VHR4
2036-01,-0.7900695024470359,CMCC_CM2_VHR4
2036-02,-0.7900695024470359,CMCC_CM2_VHR4
2036-03,-0.7900695024470359,CMCC_CM2_VHR4
2036-04,-0.456103592055238,CMCC_CM2_VHR4
2036-05,0.32208268747371194,CMCC_CM2_VHR4
2036-06,0.4826857529718378,CMCC_CM2_VHR4
2036-07,1.1691634501568713,CMCC_CM2_VHR4
2036-08,1.3067163293000728,CMCC_CM2_VHR4
2036-09,2.305902198656757,CMCC_CM2_VHR4
2036-10,1.2951258297698787,CMCC_CM2_VHR4
2036-11,-0.5693900857107106,CMCC_CM2_VHR4
2036-12,-0.7900695024470359,CMCC_CM2_VHR4
2037-01,-0.7900695024470359,CMCC_CM2_VHR4
2037-02,-0.4199323945188249,CMCC_CM2_VHR4
2037-03,-0.7900695024470359,CMCC_CM2_VHR4
2037-04,-0.7900695024470359,CMCC_CM2_VHR4
2037-05,0.23682117709372746,CMCC_CM2_VHR4
2037-06,0.9874488337205963,CMCC_CM2_VHR4
2037-07,0.9122677487085927,CMCC_CM2_VHR4
2037-08,1.5572998144463521,CMCC_CM2_VHR4
2037-09,2.1796003000792026,CMCC_CM2_VHR4
2037-10,0.9187929714001133,CMCC_CM2_VHR4
2037-11,-0.5690844646613441,CMCC_CM2_VHR4
2037-12,-0.7900695024470359,CMCC_CM2_VHR4
2038-01,-0.7900695024470359,CMCC_CM2_VHR4
2038-02,-0.7900695024470359,CMCC_CM2_VHR4
2038-03,-0.4924524082527274,CMCC_CM2_VHR4
2038-04,-0.7900695024470359,CMCC_CM2_VHR4
2038-05,-0.3022368224378311,CMCC_CM2_VHR4
2038-06,0.06948166069737298,CMCC_CM2_VHR4
2038-07,0.49212227363820393,CMCC_CM2_VHR4
2038-08,1.030783605083374,CMCC_CM2_VHR4
2038-09,1.4727213456413721,CMCC_CM2_VHR4
2038-10,0.21709843719216032,CMCC_CM2_VHR4
2038-11,-0.24970960984915902,CMCC_CM2_VHR4
2038-12,-0.7900695024470359,CMCC_CM2_VHR4
2039-01,-0.635406911610333,CMCC_CM2_VHR4
2039-02,-0.6599114507544054,CMCC_CM2_VHR4
2039-03,-0.7900695024470359,CMCC_CM2_VHR4
2039-04,-0.48965422870817793,CMCC_CM2_VHR4
2039-05,0.05079612455085317,CMCC_CM2_VHR4
2039-06,0.2738644805057218,CMCC_CM2_VHR4
2039-07,0.8747657566126796,CMCC_CM2_VHR4
2039-08,1.5027143519328678,CMCC_CM2_VHR4
2039-09,1.458357600948259,CMCC_CM2_VHR4
2039-10,0.6993556001161771,CMCC_CM2_VHR4
2039-11,-0.34537356221964954,CMCC_CM2_VHR4
